일련번호,시장/마트 번호,시장/마트 이름,품목 번호,품목 이름,실판매규격,가격(원),년도-월,비고,점검일자,시장유형 구분(시장/마트) 코드,시장유형 구분(시장/마트) 이름,자치구 코드,자치구 이름
828602,110,이마트 신도림점,24,양파,1망,3250,15-Oct,3kg,2015-10-29,2,대형마트,530000,구로구
828603,110,이마트 신도림점,23,상추,1봉지,740,15-Oct,2봉1480원,2015-10-29,2,대형마트,530000,구로구
828604,110,이마트 신도림점,22,오이,1개,390,15-Oct,백오이5개1950원,2015-10-29,2,대형마트,530000,구로구
828651,129,태평백화점,23,상추,100g(적상추),1700,15-Oct,친환경상추100g2500원,2015-10-29,2,대형마트,590000,동작구
828689,130,롯데백화점 영등포점,17,달걀,10개,4200,15-Oct,프레시안순맑은계란10구,2015-10-29,2,대형마트,560000,영등포구
828699,127,남성시장,23,상추,100g(적상추),700,15-Oct,청상추,2015-10-29,1,전통시장,590000,동작구
828715,210,상계중앙시장,23,상추, (100g),500,15-Oct,,2015-10-29,1,전통시장,350000,노원구
828717,210,상계중앙시장,17,달걀,10개,2000,15-Oct,일반,2015-10-29,1,전통시장,350000,노원구
828731,96,공릉동 도깨비시장,23,상추, (100g),500,15-Oct,,2015-10-29,1,전통시장,350000,노원구
828747,98,롯데백화점 노원점,23,상추,(100g),1980,15-Oct,,2015-10-29,2,대형마트,350000,노원구
828763,100,홈플러스 중계점,23,상추, (138g),1750,15-Oct,,2015-10-29,2,대형마트,350000,노원구
828795,78,자양골목시장,22,오이,1개,550,15-Oct,백오이,2015-10-28,1,전통시장,215000,광진구
828904,148,홈플러스 잠실점,25,무,1개(1kg),2500,15-Oct, 2kg,2015-10-29,2,대형마트,710000,송파구
828920,147,롯데백화점 잠실점,25,무,1개(1kg),1750,15-Oct, 2kg 3500원,2015-10-29,2,대형마트,710000,송파구
828935,66,수유재래시장,25,무,1개(1.4kg),1000,15-Oct,제주,2015-10-29,1,전통시장,305000,강북구
828936,66,수유재래시장,24,양파,1망,2000,15-Oct,무안,2015-10-29,1,전통시장,305000,강북구
828947,66,수유재래시장,18,닭고기,1kg,6000,15-Oct,,2015-10-29,1,전통시장,305000,강북구
828974,68,롯데백화점 미아점,18,닭고기,1마리,10100,15-Oct,하림,2015-10-29,2,대형마트,305000,강북구
828983,221,숭인시장,25,무,1개(1.4kg),1000,15-Oct,제주,2015-10-29,1,전통시장,305000,강북구
828984,221,숭인시장,24,양파,1망(1.5kg),2000,15-Oct,무안,2015-10-29,1,전통시장,305000,강북구
828985,221,숭인시장,23,상추,100g,500,15-Oct,1근 2000원,2015-10-29,1,전통시장,305000,강북구
828986,221,숭인시장,22,오이,1개,400,15-Oct,5개 2000원,2015-10-29,1,전통시장,305000,강북구
828994,221,숭인시장,18,닭고기,1마리 ,6000,15-Oct,마니커,2015-10-29,1,전통시장,305000,강북구
829032,42,이마트 가양점,23,상추,100g,790,15-Oct,예냉적상추(한 봉지 1780원),2015-10-29,2,대형마트,500000,강서구
829033,42,이마트 가양점,22,오이,1개,390,15-Oct,강원도5개1950원,2015-10-29,2,대형마트,500000,강서구
829047,40,홈플러스 등촌점,24,양파,1망(1.8kg),3460,15-Oct,무안,2015-10-29,2,대형마트,500000,강서구
829048,40,홈플러스 등촌점,23,상추,1봉지(100g),740,15-Oct,남양주,2015-10-29,2,대형마트,500000,강서구
829062,73,뚝도시장,25,무,2kg,1000,15-Oct,,2015-10-29,1,전통시장,200000,성동구
829065,73,뚝도시장,22,오이,1개,400,15-Oct,5개2000원,2015-10-29,1,전통시장,200000,성동구
