,행정구역별(시군구),1975 ,1980 ,1985 ,1990 ,1995 ,2000 ,2005 ,2010 
경상북도,안동시,267442 ,237558 ,221481 ,197228 ,188443 ,182098 ,169788 ,166197 
경상북도,구미시,132242 ,177400 ,209023 ,268546 ,311431 ,341550 ,383786 ,402607 
경상북도,영주시,173977 ,163397 ,157292 ,140889 ,131097 ,126507 ,114081 ,108888 
경상북도,영천시,184497 ,157859 ,139999 ,120565 ,113511 ,111392 ,104012 ,95256 
경상북도,상주시,226278 ,191716 ,180575 ,148200 ,124116 ,116493 ,105937 ,98103 
경상북도,문경시,161095 ,147242 ,139731 ,119416 ,92239 ,90846 ,70926 ,69021 
경상북도,경산시,130067 ,134110 ,139652 ,145074 ,173746 ,228206 ,242297 ,266036 
경상북도,군위군,67286 ,53460 ,44699 ,36875 ,29696 ,28747 ,24552 ,19993 
경상북도,의성군,179570 ,146063 ,122664 ,96897 ,77362 ,68353 ,56712 ,51247 
경상북도,청송군,81539 ,64520 ,56225 ,43756 ,35061 ,31302 ,26630 ,24008 
경상북도,영양군,67851 ,52733 ,43463 ,31170 ,23797 ,20735 ,17648 ,16540 
경상북도,영덕군,108941 ,91206 ,77590 ,65415 ,51292 ,44172 ,40547 ,36428 
경상북도,청도군,103964 ,85533 ,72791 ,60515 ,50311 ,48229 ,39558 ,38228 
경상북도,고령군,63005 ,48953 ,41188 ,35280 ,31664 ,35517 ,30895 ,31817 
경상북도,성주군,99981 ,77355 ,64651 ,53082 ,48115 ,47134 ,39682 ,36859 
경상북도,칠곡군,89743 ,81972 ,79814 ,78943 ,83304 ,101549 ,109018 ,114246 
경상북도,예천군,143529 ,120231 ,98495 ,79183 ,62515 ,54291 ,46056 ,43015 
경상북도,봉화군,114606 ,97513 ,78557 ,58168 ,42968 ,38238 ,32413 ,31242 
경상북도,울진군,105096 ,90723 ,87767 ,69990 ,64444 ,60011 ,51279 ,47108 
경상북도,울릉군,29479 ,18960 ,17281 ,15283 ,11306 ,10150 ,8331 ,7764 
경상남도,진주시,271061 ,303523 ,310812 ,328700 ,329886 ,339791 ,337242 ,337896 
경상남도,통영시,144053 ,141146 ,145851 ,138365 ,131717 ,123842 ,121555 ,129366 
경상남도,사천시,143713 ,135596 ,125131 ,115933 ,113494 ,111078 ,106851 ,107524 
경상남도,김해시,140594 ,150787 ,158603 ,185139 ,256370 ,331979 ,431778 ,494510 
경상남도,밀양시,179287 ,161564 ,151739 ,133043 ,121501 ,115962 ,105966 ,99128 
경상남도,거제시,112982 ,109641 ,173658 ,143184 ,147562 ,168022 ,196481 ,231271 
경상남도,양산시,59431 ,65707 ,80964 ,103022 ,163351 ,191975 ,217154 ,252507 
경상남도,창원시,565855 ,693685 ,813984 ,1009380 ,1048933 ,1079359 ,1079837 ,1058021 
경상남도,의령군,84187 ,64175 ,55745 ,48987 ,37681 ,31395 ,27651 ,25602 
경상남도,함안군,98984 ,80353 ,71346 ,59809 ,60343 ,58755 ,54526 ,60794 
경상남도,창녕군,137908 ,115836 ,99116 ,84175 ,71281 ,65369 ,57618 ,55189 
경상남도,고성군,111822 ,92911 ,82628 ,67657 ,60462 ,55808 ,49516 ,51703 
경상남도,남해군,120903 ,103123 ,89932 ,71500 ,60192 ,53144 ,46791 ,43919 
경상남도,하동군,121204 ,97618 ,83301 ,65870 ,55398 ,51583 ,45282 ,41862 
경상남도,산청군,95928 ,72889 ,62976 ,50179 ,43449 ,38190 ,32451 ,31898 
경상남도,함양군,106433 ,82782 ,70367 ,55014 ,44768 ,41943 ,37231 ,38002 
경상남도,거창군,123889 ,102355 ,91553 ,77580 ,70096 ,65963 ,60622 ,57323 
경상남도,합천군,156827 ,115685 ,98634 ,72657 ,61709 ,54344 ,47804 ,43639 
제주특별자치도,제주시,251766 ,290116 ,317050 ,341482 ,347303 ,367364 ,391916 ,401192 
제주특별자치도,서귀포시,159961 ,172825 ,171526 ,173123 ,158135 ,145896 ,139971 ,130713 
