시도명,구시군명,읍면동명,선거인수,투표수,후보자별 득표수,,,,,,"무효
투표수",기권수,계
,,,,,"새누리당
박근혜","민주통합당
문재인","무소속
박종선","무소속
김소연","무소속
강지원","무소속
김순자",,,
서울특별시,동작구,상도제4동,"23,946","17,662","7,771","9,721",6,8,41,19,96,"6,284","23,946"
서울특별시,동작구,흑석동,"28,724","21,680","10,607","10,857",14,10,39,21,132,"7,044","28,724"
서울특별시,동작구,사당제1동,"20,164","15,203","6,004","9,078",13,8,28,16,56,"4,961","20,164"
서울특별시,동작구,사당제2동,"24,438","19,098","8,747","10,202",8,11,29,12,89,"5,340","24,438"
서울특별시,동작구,사당제3동,"21,339","16,700","7,589","8,984",13,7,30,8,69,"4,639","21,339"
서울특별시,동작구,사당제4동,"12,587","9,656","3,977","5,595",7,3,23,8,43,"2,931","12,587"
서울특별시,동작구,사당제5동,"12,350","9,567","3,918","5,570",8,6,13,7,45,"2,783","12,350"
서울특별시,동작구,대방동,"31,054","24,322","11,281","12,842",9,9,51,23,107,"6,732","31,054"
서울특별시,동작구,신대방제1동,"20,344","15,924","7,549","8,225",11,9,30,17,83,"4,420","20,344"
서울특별시,동작구,신대방제2동,"16,497","12,766","5,966","6,709",9,4,20,14,44,"3,731","16,497"
서울특별시,관악구,보라매동,"21,873","16,379","6,977","9,286",6,7,25,5,73,"5,494","21,873"
서울특별시,관악구,은천동,"29,129","22,304","9,067","13,057",19,12,48,23,78,"6,825","29,129"
서울특별시,관악구,성현동,"26,996","21,323","9,094","12,032",17,15,45,23,97,"5,673","26,996"
서울특별시,관악구,중앙동,"12,695","9,191","3,345","5,764",10,5,15,5,47,"3,504","12,695"
서울특별시,관악구,청림동,"13,268","10,671","4,356","6,229",7,5,22,6,46,"2,597","13,268"
서울특별시,관악구,행운동,"25,679","19,101","7,126","11,801",12,19,42,14,87,"6,578","25,679"
서울특별시,관악구,청룡동,"28,416","20,819","7,594","13,040",11,16,32,17,109,"7,597","28,416"
서울특별시,관악구,낙성대동,"15,143","11,256","3,855","7,309",3,12,20,9,48,"3,887","15,143"
서울특별시,관악구,인헌동,"23,329","17,466","6,663","10,657",7,17,28,18,76,"5,863","23,329"
서울특별시,관악구,남현동,"15,112","11,645","5,239","6,323",3,4,19,12,45,"3,467","15,112"
서울특별시,관악구,신림동,"17,471","11,891","3,986","7,831",4,8,15,6,41,"5,580","17,471"
서울특별시,관악구,신사동,"20,924","14,787","5,921","8,744",3,11,27,8,73,"6,137","20,924"
서울특별시,관악구,조원동,"15,520","11,176","4,783","6,308",3,3,17,9,53,"4,344","15,520"
서울특별시,관악구,미성동,"27,736","20,978","9,603","11,204",14,12,32,14,99,"6,758","27,736"
서울특별시,관악구,난곡동,"25,023","17,856","8,082","9,622",15,9,19,19,90,"7,167","25,023"
서울특별시,관악구,난향동,"13,780","10,343","4,380","5,866",5,11,23,10,48,"3,437","13,780"
서울특별시,관악구,서원동,"20,579","15,037","5,548","9,358",11,11,33,14,62,"5,542","20,579"
서울특별시,관악구,신원동,"16,656","11,933","4,918","6,912",4,9,21,13,56,"4,723","16,656"
서울특별시,관악구,서림동,"21,294","15,913","6,035","9,722",16,22,31,22,65,"5,381","21,294"
서울특별시,관악구,삼성동,"24,360","18,349","8,013","10,144",17,21,43,16,95,"6,011","24,360"
서울특별시,관악구,대학동,"20,474","15,184","5,414","9,618",7,21,47,15,62,"5,290","20,474"
서울특별시,서초구,서초1동,"17,366","13,223","7,765","5,366",6,7,25,7,47,"4,143","17,366"
서울특별시,서초구,서초2동,"18,189","14,048","8,677","5,257",5,5,39,9,56,"4,141","18,189"
서울특별시,서초구,서초3동,"25,011","19,093","11,471","7,479",8,13,54,10,58,"5,918","25,011"
서울특별시,서초구,서초4동,"22,865","17,828","12,018","5,680",1,5,48,9,67,"5,037","22,865"
서울특별시,서초구,잠원동,"28,194","21,265","12,974","8,145",2,10,55,5,74,"6,929","28,194"
서울특별시,서초구,반포본동,"9,700","7,714","5,041","2,612",2,1,15,4,39,"1,986","9,700"
서울특별시,서초구,반포1동,"26,701","18,814","11,047","7,665",2,10,41,3,46,"7,887","26,701"
서울특별시,서초구,반포2동,"16,518","13,281","8,940","4,230",1,9,48,8,45,"3,237","16,518"
서울특별시,서초구,반포3동,"17,971","14,097","8,935","5,050",2,4,45,10,51,"3,874","17,971"
서울특별시,서초구,반포4동,"15,669","12,245","7,354","4,784",2,5,36,10,54,"3,424","15,669"
서울특별시,서초구,방배본동,"16,753","12,962","7,585","5,284",7,2,28,6,50,"3,791","16,753"
서울특별시,서초구,방배1동,"13,912","10,674","5,879","4,718",3,5,29,5,35,"3,238","13,912"
서울특별시,서초구,방배2동,"22,310","17,176","8,537","8,500",4,8,39,11,77,"5,134","22,310"
서울특별시,서초구,방배3동,"20,774","16,077","9,274","6,677",6,6,46,5,63,"4,697","20,774"
서울특별시,서초구,방배4동,"20,059","15,580","8,541","6,930",3,9,39,6,52,"4,479","20,059"
서울특별시,서초구,양재1동,"24,224","18,619","9,632","8,859",3,11,36,10,68,"5,605","24,224"
서울특별시,서초구,양재2동,"18,667","13,689","6,341","7,251",2,5,22,10,58,"4,978","18,667"
서울특별시,서초구,내곡동,"4,828","3,525","2,189","1,295",1,3,10,3,24,"1,303","4,828"
서울특별시,강남구,신사동,"16,206","11,965","7,929","3,962",1,4,20,3,46,"4,241","16,206"
서울특별시,강남구,논현1동,"23,151","14,281","7,279","6,893",4,6,34,8,57,"8,870","23,151"
서울특별시,강남구,논현2동,"18,998","12,914","7,482","5,348",5,4,24,3,48,"6,084","18,998"
서울특별시,강남구,압구정동,"23,096","17,292","13,185","3,983",4,8,42,2,68,"5,804","23,096"
서울특별시,강남구,청담동,"25,128","18,283","12,091","6,088",8,6,26,9,55,"6,845","25,128"
서울특별시,강남구,삼성1동,"12,354","9,268","6,060","3,155",2,0,21,8,22,"3,086","12,354"
서울특별시,강남구,삼성2동,"25,222","18,239","10,918","7,206",4,12,34,10,55,"6,983","25,222"
서울특별시,강남구,대치1동,"14,029","11,413","8,285","3,031",1,3,43,8,42,"2,616","14,029"
서울특별시,강남구,대치2동,"32,001","25,538","16,695","8,650",4,8,89,19,73,"6,463","32,001"
서울특별시,강남구,대치4동,"17,729","11,902","6,152","5,650",3,7,35,10,45,"5,827","17,729"
서울특별시,강남구,역삼1동,"30,930","18,818","9,360","9,328",4,10,40,8,68,"12,112","30,930"
서울특별시,강남구,역삼2동,"26,502","19,160","11,331","7,693",3,4,49,10,70,"7,342","26,502"
서울특별시,강남구,도곡1동,"17,824","14,178","8,695","5,384",4,5,33,6,51,"3,646","17,824"
서울특별시,강남구,도곡2동,"25,734","20,484","15,129","5,202",6,9,56,15,67,"5,250","25,734"
서울특별시,강남구,개포1동,"18,490","14,389","8,630","5,627",5,6,36,7,78,"4,101","18,490"
서울특별시,강남구,개포2동,"26,212","20,674","11,078","9,445",3,8,50,16,74,"5,538","26,212"
서울특별시,강남구,개포4동,"18,591","13,573","7,000","6,477",5,11,22,11,47,"5,018","18,591"
서울특별시,강남구,일원본동,"17,068","13,958","7,973","5,841",5,5,53,12,69,"3,110","17,068"
서울특별시,강남구,일원1동,"15,170","11,486","5,796","5,557",10,2,24,11,86,"3,684","15,170"
서울특별시,강남구,일원2동,"15,010","11,911","6,306","5,487",10,2,35,9,62,"3,099","15,010"
서울특별시,강남구,수서동,"14,581","10,913","5,668","5,118",8,5,19,23,72,"3,668","14,581"
서울특별시,강남구,세곡동,"10,438","8,058","4,269","3,715",5,5,13,9,42,"2,380","10,438"
서울특별시,송파구,풍납1동,"15,614","11,631","5,532","6,001",3,7,19,10,59,"3,983","15,614"
서울특별시,송파구,풍납2동,"22,509","17,610","8,353","9,105",13,9,45,12,73,"4,899","22,509"
서울특별시,송파구,거여1동,"12,247","9,322","4,773","4,462",4,5,19,11,48,"2,925","12,247"
서울특별시,송파구,거여2동,"21,824","16,257","7,899","8,168",12,9,34,20,115,"5,567","21,824"
서울특별시,송파구,마천1동,"19,036","13,774","6,526","7,124",7,9,29,15,64,"5,262","19,036"
서울특별시,송파구,마천2동,"17,844","12,758","6,101","6,536",9,5,23,13,71,"5,086","17,844"
서울특별시,송파구,방이1동,"13,092","10,295","5,412","4,811",7,3,19,0,43,"2,797","13,092"
서울특별시,송파구,방이2동,"21,304","15,514","7,022","8,366",9,8,32,14,63,"5,790","21,304"
서울특별시,송파구,오륜동,"14,880","12,333","8,183","4,042",4,6,39,5,54,"2,547","14,880"
서울특별시,송파구,오금동,"30,405","23,233","12,274","10,782",18,8,57,10,84,"7,172","30,405"
서울특별시,송파구,송파1동,"22,138","16,646","7,584","8,952",11,5,25,10,59,"5,492","22,138"
서울특별시,송파구,송파2동,"17,473","14,095","7,733","6,256",5,9,36,12,44,"3,378","17,473"
서울특별시,송파구,석촌동,"28,673","20,481","8,841","11,506",5,8,24,15,82,"8,192","28,673"
서울특별시,송파구,삼전동,"28,307","20,390","8,862","11,409",6,7,31,13,62,"7,917","28,307"
서울특별시,송파구,가락본동,"23,313","17,730","8,962","8,643",6,6,37,7,69,"5,583","23,313"
